,pointID,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,lon,lat,coordinates,OSMID,OSM_lon,OSM_lat,geometry
40,39,"Block 3001, Block Group 3, Census Tract 5.01, Kings County, New York",634,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005013001,14,-73.99564386033458,40.693820246913056,"(40.693820246913056,-73.99564386033458)",42512477,-73.9959246,40.6933027,POINT (-73.9959246 40.6933027)
41,40,"Block 1000, Block Group 1, Census Tract 5.02, Kings County, New York",895,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005021000,19,-73.99230186168978,40.69567578499995,"(40.69567578499995,-73.99230186168978)",42476725,-73.993079,40.6952191,POINT (-73.99307899999999 40.6952191)
42,41,"Block 1001, Block Group 1, Census Tract 5.02, Kings County, New York",520,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005021001,12,-73.99295251356133,40.69654797794225,"(40.69654797794225,-73.99295251356133)",42517597,-73.99302,40.69746,POINT (-73.99302 40.69746)
43,42,"Block 2000, Block Group 2, Census Tract 5.02, Kings County, New York",203,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005022000,5,-73.99319919820309,40.694869529223624,"(40.694869529223624,-73.99319919820309)",42476725,-73.993079,40.6952191,POINT (-73.99307899999999 40.6952191)
44,43,"Block 2001, Block Group 2, Census Tract 5.02, Kings County, New York",230,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005022001,5,-73.99352104689969,40.69419798181798,"(40.69419798181798,-73.99352104689969)",42519223,-73.9946181,40.6941219,POINT (-73.9946181 40.6941219)
45,44,"Block 2002, Block Group 2, Census Tract 5.02, Kings County, New York",792,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005022002,17,-73.99391152361852,40.693376009628295,"(40.693376009628295,-73.99391152361852)",42528916,-73.9941954,40.6930089,POINT (-73.9941954 40.6930089)
46,45,"Block 1000, Block Group 1, Census Tract 7, Kings County, New York",249,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470007001000,6,-73.99829385098784,40.69297536200095,"(40.69297536200095,-73.99829385098784)",42500778,-73.9983131,40.6937223,POINT (-73.9983131 40.6937223)
47,46,"Block 1001, Block Group 1, Census Tract 7, Kings County, New York",458,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470007001001,10,-73.99915272726543,40.69251031966032,"(40.69251031966032,-73.99915272726543)",588036471,-73.9999782,40.6922737,POINT (-73.9999782 40.6922737)
48,47,"Block 1001, Block Group 1, Census Tract 7, Kings County, New York",458,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470007001001,10,-73.99915272726543,40.69251031966032,"(40.69251031966032,-73.99915272726543)",588036471,-73.9999782,40.6922737,POINT (-73.9999782 40.6922737)
49,48,"Block 1003, Block Group 1, Census Tract 7, Kings County, New York",32,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470007001003,1,-73.99969899456266,40.69257946537792,"(40.69257946537792,-73.99969899456266)",588036471,-73.9999782,40.6922737,POINT (-73.9999782 40.6922737)
